EOBFileid,PaymentPostingid,EOBFile,createdby,createdDate,changedby,changedDate,deletedby,isdeleted,CreatedUserType,ChangedUserType
253078,584675,584675_253078_postpayment.pdf,477,2016-01-21 05:18:31.703,0,2016-01-21 05:18:31.703,0,0,Users,
240412,564858,183572_postpayment.pdf,570,2015-12-23 05:15:47.207,0,2015-12-23 05:15:47.207,0,0,Users,
298488,892807,226218_postpayment.pdf,55,2017-02-10 01:08:56.947,0,2017-02-10 01:08:56.947,0,0,Users,
249303,579913,191389_postpayment.pdf,608,2016-01-12 06:12:58.503,0,2016-01-12 06:12:58.503,0,0,Users,
244924,572718,187663_postpayment.pdf,170,2016-01-04 07:13:41.350,0,2016-01-04 07:13:41.350,0,0,Users,
246774,575918,189281_postpayment.pdf,610,2016-01-06 06:45:56.887,0,2016-01-06 06:45:56.887,0,0,Users,
249622,580321,580321_249622_postpayment.pdf,610,2016-01-13 00:19:37.117,0,2016-01-13 00:19:37.117,0,0,Users,
246142,574335,188748_postpayment.pdf,570,2016-01-06 00:18:51.087,0,2016-01-06 00:18:51.087,0,0,Users,
252713,584304,194406_postpayment.pdf,471,2016-01-21 00:53:40.023,0,2016-01-21 00:53:40.023,0,0,Users,
294180,584304,584304_294180_postpayment.pdf,715,2016-10-04 02:17:29.430,0,2016-10-04 02:17:29.430,0,0,Users,
245747,570412,570412_245747_postpayment.pdf,477,2016-01-05 07:16:04.953,0,2016-01-05 07:16:04.953,0,0,Users,
237210,561082,180467_postpayment.pdf,570,2015-12-16 05:37:30.110,0,2015-12-16 05:37:30.110,0,0,Users,
248301,578364,190504_postpayment.pdf,609,2016-01-11 00:14:54.883,0,2016-01-11 00:14:54.883,0,0,Users,
249473,580154,191534_postpayment.pdf,609,2016-01-12 22:19:19.303,0,2016-01-12 22:19:19.303,0,0,Users,
248774,579170,190880_postpayment.pdf,539,2016-01-11 08:18:58.030,0,2016-01-11 08:18:58.030,0,0,Users,
238102,562204,181386_postpayment.pdf,570,2015-12-18 01:24:52.763,0,2015-12-18 01:24:52.763,0,0,Users,
259193,602701,199941_postpayment.pdf,471,2016-02-08 06:19:16.313,0,2016-02-08 06:19:16.313,0,0,Users,
258394,597887,198964_postpayment.pdf,609,2016-02-03 01:31:48.633,0,2016-02-03 01:31:48.633,0,0,Users,
229524,551205,172785_postpayment.pdf,581,2015-11-23 07:07:35.010,0,2015-11-23 07:07:35.010,0,0,Users,
226876,547583,170155_postpayment.pdf,170,2015-11-14 04:46:41.230,0,2015-11-14 04:46:41.230,0,0,Users,
230335,552027,173596_postpayment.pdf,565,2015-11-25 03:57:04.437,0,2015-11-25 03:57:04.437,0,0,Users,
257089,592518,197903_postpayment.pdf,610,2016-01-28 22:46:29.017,0,2016-01-28 22:46:29.017,0,0,Users,
249085,579661,191170_postpayment.pdf,610,2016-01-12 04:00:45.460,0,2016-01-12 04:00:45.460,0,0,Users,
246147,574340,188753_postpayment.pdf,570,2016-01-06 00:20:21.367,0,2016-01-06 00:20:21.367,0,0,Users,
245491,573684,188199_postpayment.pdf,609,2016-01-05 06:15:02.110,0,2016-01-05 06:15:02.110,0,0,Users,
258206,596620,198769_postpayment.pdf,471,2016-02-01 05:55:59.300,0,2016-02-01 05:55:59.300,0,0,Users,
258209,596627,198771_postpayment.pdf,471,2016-02-01 05:57:57.140,0,2016-02-01 05:57:57.140,0,0,Users,
253560,585294,195194_postpayment.pdf,609,2016-01-22 01:29:27.447,0,2016-01-22 01:29:27.447,0,0,Users,
257452,594023,594023_257452_postpayment.pdf,469,2016-01-29 23:54:48.953,0,2016-01-29 23:54:48.953,0,0,Users,
251899,583216,193658_postpayment.pdf,609,2016-01-19 06:39:13.753,0,2016-01-19 06:39:13.753,0,0,Users,
256062,588651,196987_postpayment.pdf,609,2016-01-25 00:00:24.433,0,2016-01-25 00:00:24.433,0,0,Users,
301773,991274,991274_301773_postpayment.pdf,477,2017-07-25 01:29:30.857,0,2017-07-25 01:29:30.857,0,0,Users,
303111,1166031,1166031_303111_postpayment.pdf,477,2018-03-29 23:27:19.010,0,2018-03-29 23:27:19.010,0,0,Users,
231027,552862,174291_postpayment.pdf,565,2015-11-27 02:02:57.313,0,2015-11-27 02:02:57.313,0,0,Users,
298086,848925,848925_298086_postpayment.pdf,636,2017-02-06 06:18:59.513,0,2017-02-06 06:18:59.513,0,0,Users,
231721,553777,175022_postpayment.pdf,565,2015-12-01 02:54:13.357,0,2015-12-01 02:54:13.357,0,0,Users,
257507,594199,198262_postpayment.pdf,477,2016-01-30 00:33:14.620,0,2016-01-30 00:33:14.620,0,0,Users,
231028,552863,174292_postpayment.pdf,565,2015-11-27 02:03:52.040,0,2015-11-27 02:03:52.040,0,0,Users,
250175,580898,192134_postpayment.pdf,609,2016-01-13 22:01:15.937,0,2016-01-13 22:01:15.937,0,0,Users,
248110,575895,575895_248110_postpayment.pdf,477,2016-01-09 00:22:49.510,0,2016-01-09 00:22:49.510,0,0,Users,
249015,579574,191100_postpayment.pdf,610,2016-01-12 03:17:38.150,0,2016-01-12 03:17:38.150,0,0,Users,
258224,596715,198786_postpayment.pdf,477,2016-02-01 06:47:21.930,0,2016-02-01 06:47:21.930,0,0,Users,
246713,575722,575722_246713_postpayment.pdf,481,2016-01-06 06:18:06.987,0,2016-01-06 06:18:06.987,0,0,Users,
