id,practiceid,cptid,cptcode,chargeamt,allowedamt,createdby,createdDate,changedby,changeddate,deletedby,isdeleted,isactive,createdusertype,changedusertype,feescategoryid
8673,77,1739,71020,104,69.33,4,12-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8674,77,2273,73520,116,77.33,4,12-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8697,77,3538,72146,1657,1104.67,4,13-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8698,77,3537,72141,1516,1010.67,4,13-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8699,77,1741,72148,1639,1092.67,4,13-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8700,77,3539,70553,3190,2126.67,4,13-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8701,77,1738,70551,1499,999.33,4,13-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8962,77,2673,10022,350,233.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8963,77,3550,19081,2600,1733.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8964,77,3566,19082,2000,1333.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8965,77,3562,19083,2500,1666.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8966,77,3567,23350,400,266.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8967,77,3568,51798,50,33.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8968,77,3570,58340,375,250,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8969,77,3572,70220,127,84.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8970,77,1734,70450,665,443.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8971,77,1735,70470,996,664,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8972,77,3573,70486,708,472,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8973,77,3574,70490,729,486,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8974,77,1736,70492,1021,680.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8975,77,3576,70496,1472,981.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8976,77,3577,70498,1472,981.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8977,77,3578,70543,3105,2070,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8978,77,3579,70544,1457,971.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8979,77,3581,70547,1456,970.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8980,77,3540,71010,80,53.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8981,77,3541,71030,135,90,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8982,77,2163,71100,99,66,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8983,77,3542,71130,114,76,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8984,77,3543,71250,847,564.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8985,77,3544,71275,1669,1112.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8986,77,2172,72040,102,68,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8987,77,2625,72050,148,98.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8988,77,2177,72052,183,122,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8989,77,3545,72072,117,78,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8990,77,2186,72080,109,72.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8991,77,2188,72100,109,72.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
8992,77,2192,72110,151,100.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8993,77,3546,72125,847,564.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8994,77,3547,72128,847,564.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8995,77,3549,72131,847,564.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8996,77,3548,72156,3221,2147.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8997,77,1743,72157,3220,2146.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8998,77,1744,72158,3190,2126.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
8999,77,2208,72170,84,56,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9000,77,3551,72192,837,558,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9001,77,3554,72194,1147,764.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9002,77,3558,72196,1770,1180,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9003,77,3559,72197,3129,2086,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9004,77,2963,72220,92,61.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9005,77,2184,73000,82,54.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9006,77,2189,73030,93,62,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9007,77,2199,73080,92,61.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9008,77,2215,73110,85,56.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9009,77,2218,73120,79,52.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9010,77,2219,73130,85,56.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9011,77,2221,73140,67,44.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9012,77,3563,73200,727,484.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9013,77,3571,73218,1455,970,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9014,77,2035,73221,1455,970,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9015,77,3569,73223,3105,2070,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9016,77,2266,73500,79,52.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9017,77,2269,73510,98,65.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9018,77,2223,73560,84,56,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9019,77,2225,73562,93,62,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9020,77,3575,73565,81,54,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9021,77,2229,73590,84,56,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9022,77,2234,73610,85,56.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9023,77,2238,73630,85,56.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9024,77,3580,73700,727,484.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9025,77,3582,73718,1455,970,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9026,77,1746,73721,1455,970,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9027,77,3583,74000,85,56.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9028,77,3584,74010,101,67.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9029,77,3588,74020,112,74.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9030,77,3593,74174,1500,1000,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9031,77,3595,74176,1000,666.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9032,77,3597,74177,1200,800,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9033,77,1748,74178,1500,1000,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9034,77,3600,74183,3129,2086,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9035,77,3197,74220,200,133.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9036,77,3199,74240,180,120,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9037,77,3605,74246,205,136.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9038,77,3586,74740,200,133.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9039,77,3589,75571,395,263.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9040,77,3592,75635,1400,933.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9041,77,1595,76536,245,163.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9042,77,3598,76604,231,154,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9043,77,3601,76642,403.5,269,4,14-10-2015,4,16-10-2015,0,0,1,Users,Users,88
9044,77,1597,76700,348,232,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9045,77,1749,76705,250,166.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9046,77,1598,76770,336,224,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9047,77,1750,76830,278,185.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9048,77,1599,76856,290,193.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9049,77,3608,76870,271,180.67,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9050,77,1600,76881,213,142,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9051,77,2744,76882,56,37.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9052,77,3610,76942,400,266.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9053,77,3200,77002,200,133.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9054,77,3612,77051,56,37.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9055,77,3614,77052,56,37.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9056,77,3615,77072,90,60,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9057,77,3616,77075,275,183.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9058,77,1752,77080,398,265.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9059,77,3585,78227,790,526.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9060,77,3587,78261,702.18,468.12,4,14-10-2015,4,16-10-2015,0,0,1,Users,Users,88
9061,77,3590,78306,470,313.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9062,77,3591,78812,6420,4280,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9063,77,3594,78815,6420,4280,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9064,77,1846,93880,710,473.33,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9065,77,1848,93925,840,560,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9066,77,3596,93931,440,293.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9067,77,1850,93970,693,462,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9068,77,1851,93971,471,314,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9069,77,3599,93976,639,426,4,14-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9070,77,3602,A9503,50,33.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9071,77,3603,A9537,63.06,50,4,14-10-2015,3,26-04-2017,0,0,1,Users,Users,88
9072,77,3604,A9541,115,76.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9073,77,3606,A9552,500,333.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9074,77,3607,A9579,6,4,4,14-10-2015,3,21-09-2016,0,0,1,Users,Users,88
9075,77,1890,G0202,310,206.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9076,77,1891,G0204,340,226.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9077,77,1892,G0206,275,183.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9078,77,3609,J2805,100,66.67,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9079,77,3521,Q9967,2,1.33,4,14-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9797,77,2169,72020,70,46.67,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9798,77,2187,73020,76,50.67,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9799,77,2235,73620,79,52.67,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9800,77,2202,73090,82,54.67,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9801,77,2244,73650,77,51.33,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9802,77,2197,73070,81,54,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9803,77,2230,73600,79,52.67,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9804,77,2316,73660,67,44.67,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9805,77,2210,72200,84,56,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9806,77,2193,73060,92,61.33,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9807,77,2281,73550,92,61.33,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9808,77,2205,73100,79,52.67,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9809,77,2217,73010,84,56,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9810,77,3525,76937,97.98,65.32,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9811,77,2180,72070,107,71.33,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9812,77,2232,73050,107,71.33,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9813,77,1745,73564,104,69.33,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9814,77,2279,73530,124.5,83,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9815,77,2183,72074,138,92,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9816,77,2182,72120,135,90,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9817,77,3335,74710,163.5,109,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9818,77,2196,72114,189,126,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9819,77,2166,72010,184,122.67,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9820,77,1751,77057,228.24,152.16,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9821,77,2806,77055,224,149.33,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9822,77,2748,78270,243.63,162.42,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9823,77,2596,76000,160,106.67,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9824,77,3198,74230,252.01,168.01,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9825,77,2643,76930,262.5,175,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9826,77,1753,78272,269.25,179.5,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9827,77,2191,73040,250,166.67,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9828,77,3534,77001,235,156.67,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9829,77,1995,76775,249,166,4,16-10-2015,3,20-09-2016,0,0,1,Users,Users,88
9830,77,3057,77056,278,185.33,4,16-10-2015,4,20-10-2015,0,0,1,Users,Users,88
9831,77,1983,75820,345.48,230.32,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9832,77,1994,76376,373.57,249.05,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9833,77,3251,76001,391.5,261,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9834,77,2568,75822,429.63,286.42,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9835,77,3618,75901,483.7,322.47,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9836,77,1988,75945,541.5,361,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9837,77,1998,78457,564.47,376.31,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9838,77,1992,75964,684,456,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9839,77,1981,75774,763.5,509,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
9840,77,1984,75825,871.5,581,4,16-10-2015,0,16-10-2015,0,0,1,Users,NULL,88
